Uid,Uname,Like,Level,Content,Time
10736006,Xiao皓子,1824,6,我现在是ch厨，他太懂整活了，他属实把乐子这块儿玩明白了，xswl，小说里都不敢这么写，他就敢这么做，他是我目前认知中的游戏界整活王，只要他还在整活，我就支持他一天，加油，你还能更离谱，你家ch整活比你家游戏好玩多了，太乐了。,2021-05-20 21:04:40
1227897737,七八吨沈梦溪,1310,3,有没有考虑请谏山创当你们公司的剧情策划？[吃瓜],2021-05-20 20:33:54
10736006,Xiao皓子,1465,6,逛了一圈评论区，有人觉得这是在拉原神救崩三没有放弃崩三，有人觉得是在自取灭亡得了大病，我不一样，我觉得他在第五层，他在整活，没有人比他更懂震撼人心，没有人比他更懂乐子，没有人比他更懂搞麻玩家，没有人比他更懂整活讨好路人，他这一出大戏你上哪里能看到，小说都不敢这么写，究极nb天下无敌的大乐子人就是他，反正我已经震惊的说不出话，除了nb666666没有啥能说的只想看乐子了，只能说乐子这块儿给他玩明白了,2021-05-20 20:50:40
145768134,雪茨_,4015,5,"以后谁再说你不会公关我就跟他急
分化玩家来引战这种事
你可真的是太熟练了[笑][笑][笑]",2021-05-20 21:00:50
440348448,羡既,2842,5,早不道歉晚不道歉，节奏快结束你道歉，道歉了还搁哪避重就轻，毫无诚意，早不联动晚不联动，风口浪尖你联动，你游ch实在人间大才,2021-05-20 20:40:26
12525306,中奖了不要艾特我,3300,5,你看，果真没人提台服直播的事情了[嗑瓜子],2021-05-20 21:04:19
620450745,对线小号1,3307,4,欢迎隔壁玩家入坑，记得多打深渊，主线尽快推到冰律那三章，堪称巅峰,2021-05-20 21:20:04
39075420,病娇目的虚妄,2699,5,我是没想到你会拉着原神玩家来和我们对线，唉，到这个地步了吗，宁愿对线到底也不愿意道歉吗[2233娘_无言][2233娘_无言][2233娘_无言],2021-05-20 20:53:30
285799934,鱼干_cao,670,5,欧莱雅男士洗面奶，买两个扔两个，联动归联动，他家洗面奶是真的奉劝各位别用，粉转路评，莫喷[辣眼睛],2021-05-20 20:48:14
66545801,跳脱出去,1115,6,有些人游戏还没上呢就着急开始洗地了😅,2021-05-20 20:54:04
32999453,紫意濡染,3769,6,"原神菲谢尔6命,崩坏三我就不去了，怕认错游戏[OK]",2021-05-20 20:30:47
25301374,啊哈哈哈哈哈哈哈哈XD,2231,5,现在我无条件支持ch的一切决定，所有反对刻晴和艾米成为女武神的都将被我扣上魔怔人的帽子，我爱mihoyo的运营和ch，没错，现在我就是ch厨[滑稽],2021-05-20 20:34:27
108889235,改ID能中奖,993,5,“我闻到了战争的气息，一场覆盖整个二次元手游圈的盛大战争即将开始，无人能置身事外”😅,2021-05-20 20:52:55
452230,核弹剑法,1329,6,"如果刻晴有罪请让她坐牢[喜极而泣]
而不是让她成为雷系拉胯受害者且没有传说任务+单独up池流水最低之后又去某个地方当女武神[笑哭][笑哭][笑哭]",2021-05-20 21:05:55
86026899,BrothelMHY,499,5,别忘了二十三号的直播,2021-05-21 17:32:10
