Uid,Uname,Like,Level,Content,Time
36111776,雷霆王嘉炜,235,5,让我看看有没有发现看到新动态后下面风评突然变化如此巨大而来以前动态里看看的小伙伴[doge],2021-06-26 12:23:28
1091229826,屏蔽多么无耻的,573,3,"芽衣：“指挥官，好久不见我也想你了呢～”
指挥官：“爷就是舰长，有些人就是缺一顿现实的毒打，别光敲键盘有能耐面对面，不让你横着进医院我当场辞掉武馆教练的活。”
呆鹅：“指挥官？指挥官你在干什么？”
指挥官：“不用问我是谁，我时时刻刻就在你们身边”
姬子：“跑什么步？你旁边还有其他人？”
指挥官：“现在我带动了班里大多数人玩米哈游，也是会光明正大的在班里玩米哈游，谁能有意见?”
丽塔：“指挥…………”
指挥官：“有点恨没有美国那种环境，我tm真想有外国mvb的战斗力”
布洛尼亚：“指挥官在这样下去布洛尼亚真的要生气了喔”
指挥官：“你看不惯大可以线下刀了我，躲在屏幕后面哗哗赖赖算什么本事[微笑]”
K423：“该本小姐出马了，指挥官你寄巴谁啊”
指挥官：“好歹我家里不只是有钱啊,也是有权的，蒸发一个抹黑米哈游和大伟哥的公司还是可以做得到的。”
众女武神：“喂？喂？ 指挥官，我错了，你回来吧，我不去外面跳舞了[委屈]”",2021-06-23 22:08:32
18790655,魔性易拉罐,312,5,"taptap调整后现状
原神『8.3分好耶，恶意差评没用了』
粥游『9.1假的吧，雪人不玩游戏？好吧』
崩三『好耶，恶意差评……嗯？』
崩坏3rd5.6分，各种差评带时长[怪我咯]
别的游戏打个3星算差评
你游算好评了[滑稽]",2021-06-23 18:58:37
45003576,Rampant夢,394,5,"贵公司bw是不是有商展啊[吃瓜]
到时候能让ch喝三大创始人出来露个面不？
没什么 就是厨他们而已[吃瓜][吃瓜]",2021-06-24 14:43:49
21735860,你们都是群魔鬼,415,5,"1，一边说着mzr扰乱二创评论区，一边又在二创评论区yygq mzr，这难道不还是在扰乱二创评论区？（彩笔的新视频）
2，一边说着“哈哈哈这次剧情嘲讽mzr，输出拉满，千人驴”一边在冲官方的玩家说“剧情故意嘲讽”时跳出来说“看剧情了吗？就硬喷”
3，一边说着不会真有人对数据发情，一边在姬子生日那天说希望这条动态下面没有mzr
什么矛盾文学",2021-06-24 17:47:12
63401129,西行落华,543,2,yysy 某种程度上 崩三这事也造成二次元玩家和二次元公司的信任隔阂 [笑哭]你永远想不到下一步公司会不会将玩家所热爱的东西摧毁掉 极大程度降低为爱满单玩家的游戏热情[脱单doge] 这一波啊 是mhy打压所有二次元游戏[大笑],2021-06-24 09:47:21
460444,万能的云爷,753,6,我是任豚，tx雇来的水军，收了鹰角的钱，总指挥部在原神项目组，毁灭bh3的计划是我和大伟哥一起制定的。,2021-06-23 22:53:25
4638071,LeichterSchnee,300,5,"在我的眼中，世界上绝大多数行为都可以是商业行为，包含物质的交换与情感的交换。玩家与游戏厂商的博弈就像谈恋爱中的双方。
   如果一个人无条件的献出自己的所有，去当一个舔狗，那么，换成商业用语，这种行为就意味着你很""廉价”。我不需要花费额外的心思就能收获你的付出。如果我不需要爱你，你就会献上所有，那么我爱你就成了亏本买卖，虽然这么说很残酷，但我为什么不用我的爱去换需要付出才能得到的资源，拿到双倍的快乐呢?
   同理，如果你希望游戏厂商把你当人，你就必须克制自己充值的数目，把钱握在手中，在他给出足够的诚意后才象征性的奖励一下随便氪点。如果你是一片稳定的、 饱和的市场，那么花钱花精力讨好你，你的氪金力度也不会有变，厂商就会去舔那些花心思讨好能带来增长的市场。
   总之，别当狗，站起来PUA他",2021-06-23 20:49:16
261640643,请赐我无动于衷的智慧,622,5,谢谢你，mhy。让我觉醒消费者意识，以及认清二次元真相。我误会你了。建议加大力度，多氪多肝。,2021-06-24 09:52:13
2409933,衣屋玖爱瑠,241,6,哈哈哈哈哈，主线剧情，现在还有什么主线剧情？,2021-06-24 12:16:40
1960680,145014,339,6,"每日一蚌
爱酱你怎么了爱酱，怎么我看你投稿只有漫画了，虽然翻你动态起码皇女介绍还能打开，但是投稿里怎么只有崩三漫画了，你是终于要滚了吗[给心心]
就很多xz好像都很疑惑，啊，我连线下pk的威胁都拿出来了，这帮“mzr”怎么一点都不怕
要不说他们低龄幼稚，可能说抑郁刀法，泰拳警告，苹果爆头，闪击波兰他们都不知道啥意思[呲牙]早都玩烂了",2021-06-24 07:19:17
101210652,假装我有猫丶,346,5,话说纯晶又换色了，可真是厉害啊米桑[辣眼睛],2021-06-23 20:33:02
320194225,马楽,376,5,一手操作玩的六，官方问题变成玩家对立，讲个笑话“mhy没有公关”什么叫神级公关啊,2021-06-24 15:03:03
34593264,弱虚,380,5,"4.22“道歉信”下面大佬的评论。给大家看看[吃瓜][吃瓜]
公告里的绿茶味太浓了， 说实话不像是啥正经的“犯错立正挨打”的堂堂正正的公文， 更像是被抓出轨的绿茶弄的胡弄舔狗和苦主的话术
男的也许看不全， 但女的看这个吧， 绿茶味太浓， 直皱眉。
更了解当地:
事情的决策人不是我, 我是看别人的的观点才跟着做的——绿茶常见话术点， 甩手脱身， 即自己不是决策人， 而是跟随者， 把自己从主谋放到从属位置上， 一旦出问题， 别人就追究不到绿茶身上
伤害到了舰长感情：
绿茶：当舔狗舔我时， 我谈钱， 当舔狗不再舔我时， 我谈感情。 
立刻联系合作方要求停止： 
绿茶常见话术：〖当你要求我做出回应时， 我已经行动了， 只是没口头回应你〗 ＝ “相信我， 我第一时间就这么做了， 只是【没告诉你】”， 
实际上是【行动上根本不考虑你， 嘴上却说心里有你】的绿茶钓鱼话术
对， 你不问绿茶， 绿茶就啥也不做， 你要绿茶回应， 绿茶也不回， 直到绿茶发现舔狗不花钱了， 绿茶才说我一直有行动， 只是【不告诉作为舔***， 其实我心里有你】
期望能给广大舰长充满诚意回应：
绿茶常见话术： 〖空头支票〗 ＝ “我希望你能够幸福/快乐/满意/开心， 吧啦吧啦……“ 当然， 别指望绿茶真做什么， 甚至你翻下旧账就知道绿茶从来没让人满意过
由于下架事宜牵扯到多个合作方：
绿茶常见话术： 〖小女子人微言轻， 说了别人不听， 不是我不想做， 而是做不到啊～〗（——没错， 已经是有了原神这样世界巨头级游戏的鸡桑还是“人微言轻”）
 明明手里私握多牌， 但还要装出一副弱女子白莲花被别的大家贵女欺负的样子。 利用“弱势＝无错”这一歪论。
 
－－－－－－－－－－－－－－－
其它公文里的绿茶点问题还有不少， 实在是懒的全谈一遍了
怎么说呢， 鸡桑公文的一贯毛病， 我是不知道是不是鸡桑瞧不起搞文字工作的人啊， 就这写出来的东西， 按绿茶的标准还勉勉强强， 按文字工作的标准， 实在难以及格， 根本就是外行",2021-06-23 23:46:05
8160001,ミカンMikan,330,5,"米哈游为什么是神？在谈论这个问题之前，我想先说说其他厂商相较于神究竟差在了哪里

　　首先是犯下傲慢之罪的暴雪

　　仗着16年炉石守望大热就整了个暗黑不朽，不屑地问：“你们没有手机吗？”，这种傲慢的厂商注定走不长远，事实也是如此，靠着一波山口山怀旧服续命之后一直在走下坡路，最终泯然众人。与之相比神就很谦卑，崩二，崩三海外不够火热都是神留给凡人的慈悲，神不是不会，只是不想通过太完美的表现让对手绝望所以故意不用，可笑有些人不理解神的良苦用心，竟然还用这些事来讥讽神，我劝你们好自为之。

　　然后是犯下愤怒之罪的任天堂

　　因为隔壁白猫计划抄了自己的虚拟摇杆，又想偷走专利，就跟人家C社打官司，一有什么事就怒气冲冲，大力出击，违背了神在《新约》中的一句话：“核心玩法要好，系统就去学（chao）习（xi），噗~应该叫微创新。”于是神降下了他的惩罚，任只得跪伏在神威之下，不得不让原神登录Switch，遵行神的旨意。
。
。
编不下去了[tv_笑哭]",2021-06-23 20:24:30
72402696,卡哇狗期那,442,5,我懂了，建议下个版本空降炎律，意识完全是姬子的那种，把支配律者直接干碎，然后大家都欢迎姬子回来，几句话把坑填完，大家感动就完事了哦[拥抱],2021-06-24 12:47:24
102874954,123木头人0_0,512,5,好家伙，冲那么久了，结果还是要出新的纯晶，没办法了，米桑别慌，我决定冲你到关服[嗑瓜子],2021-06-23 19:38:01
1670547414,诸邪避退-万发不侵,230,2,我来讲故事了，故事名《米桑的奇妙冒险》,2021-06-23 23:28:00
38562548,华踏歌,481,5,"再来
圣经《8277个日本人与1名中国人》",2021-06-23 20:03:39
259512845,犭袁礻申,476,5,你们这些黑子，再敢说原神和米哈游一句不好，不只是网络暴力，我会直接sha了你，不用问我是谁，我时时刻刻就在你们身边[阴险],2021-06-23 22:12:05
1781177560,碧溪客,618,2,不要在一件商品上倾注太多的感情。,2021-06-24 06:52:21
68585125,蹦三脑子是否缺少什么,382,6,"你们剧情的让安娜和天武之间的感情，一文不值 。
 笑死   ，就因为不是主角，所以他俩的感情不能战胜崩坏[偷笑]。",2021-06-24 12:37:35
34215439,马列主义继承者QAQ,438,5,日服又补上了我们欧莱雅的签到活动，不过圣痕换成了15个远古意志。,2021-06-24 15:13:28
388877037,倚楼观月风拂面,315,5,我c语音大佬就算被开盒，被群嘲，也一样能扒了王者的源代码。——兵王救我[吃瓜],2021-06-24 13:27:48
42332641,泫澈casa,431,6,律师和退伍兵王都出来了 下一步是不是出来个叙利亚雇佣兵?[呲牙],2021-06-23 23:55:38
620450745,对线小号1,353,4,"内鬼只有两个时候有用
一个是甩锅tx的时候
一个是发福利要提前泄密的时候
其他时候一律当放屁",2021-06-23 18:44:12
613618491,泳装拉弥亚,367,3,自退游开始，我就可以暗中看这那些人花着大把的钱去氪一个数据，关键是氪了也没有享受到什么东西，深渊战场一样上不去[吃瓜],2021-06-23 19:50:27
