Uid,Uname,Like,Level,Content,Time
13353739,艦長這邊請,1765,5,你买100件她的花嫁，她不是你的，你看100遍书，知识就是你的，该醒醒了，我们的目标是建设祖国。,2021-06-05 10:23:14
365961732,fan饭喵喵,607,5,mhy还真指望提纯的那几个连月卡都不充的给你买周边吼[吃瓜][吃瓜][吃瓜],2021-06-04 17:50:10
143147906,天使之翼恶魔之心,755,5,mxz觉得比内测团大佬更了解mhy就来洗吧。,2021-06-04 21:20:55
36853774,遥の爵士,731,5,"特别喜欢xz一句话:这里和贴吧也就是mzr唯一的聚集地了
牛逼啊，官方账号只能被称为“这里”了[吃瓜]虽然我不敢来官号，但我可以看不起官号嗷，就好比是虽然我阻止不了某某某骂我朋友，但我可以和我朋友绝交呢[呲牙]开除官号米籍，这波啊，这波是……给我整不会了😅",2021-06-01 11:32:00
200422605,左岸漫游诗人,649,3,一语双关，我们都是菜园里的菜行吧！建议把包菜改成韭菜[OK],2021-05-31 11:51:00
57590849,笑看逗比搞笑,380,5,"[呲牙]遇到那种把所有节奏列出来说“预测节奏会出现1....2....”装“先知”的xz防御机制，直接回复他

“把已出现的事实和问题复述一遍就算问题解决了是吧？”",2021-06-04 12:44:42
620450745,对线小号1,860,4,内鬼呢，内鬼救一下啊，版本快结束了，内鬼呢？,2021-06-04 10:32:37
143147906,天使之翼恶魔之心,1008,5,流水＞玩家体验＞玩家感情？,2021-06-04 21:38:39
186732414,七铭的鲁迪乌斯,1307,5,我觉得mhy现在装死的原因是因为他们想做好崩4，可是卡普空迟迟不出鬼泣6他们也很无奈,2021-06-04 11:16:19
81576208,MyaNEKO,717,6,🌿，还真有阴兵，欧莱雅男士昨天晚上还只售出800多件，今天突然7天热销2.6万，你哄鬼呢隔着[疑惑],2021-06-04 10:23:13
7354769,神若潮秋,666,6,"刚从开水果店的室友那儿学到了，买西瓜不能买敲起来嘣嘣嘣的，因为多半不熟。
事实证明，嘣嘣嘣不行。",2021-06-04 20:55:21
1091229826,屏蔽多么无耻的,1140,3,"老玩家会被放弃，新玩家会被提纯。
崩3已经被毁的差不多了，那一层名为美好的遮羞布已经无法掩盖资本那冷漠的态度。

可是我们会记得，我无法阻止玩家氪金，无法阻止官方的冷处理，我所能做的是在有米哈游足迹的地方告诉别人你们曾经做过的事情，我能默默玩4年，也能默默跟在你们身后4年。",2021-06-05 00:36:48
85676671,叫我离明就好,440,5,刚才又有一个mxz把被破防之后把我拉黑了，不懂就问，这是，这就是米家人的被动技能吗？鸵鸟本质一脉相承，果然不愧是亲父子。[偷笑],2021-06-04 12:20:22
7354769,神若潮秋,470,6,"不要被mxz带节奏了，什么叫“如果mzr没乱冲二创cv，会有人当二鬼子？”
我可是因为当初过来正经讨论，被mxz、NGA理中客扣帽子“严于绿己”、“绿帽侠”才一直奋战到现在的。
mxz以为帮mhy是在恶心我们，却不知道我们许多人冲mhy也是为了恶心它们[大笑]",2021-06-04 13:41:34
34362228,院长大人CYH,705,6,"当我同时玩多个手游却只黑崩三时，mxz总是会看我关注列表把我打为其他游戏的卫兵。
我就很不懂了，我同时玩的手游很多，单对您mhy家的不满，这难道不是mhy的问题而是我的问题？",2021-06-04 11:50:29
620450745,对线小号1,516,4,你们说有没有可能，当年百万塞尔达中一些跟风喷的人，现在跑去当xz啊？,2021-06-02 19:21:11
96778357,崩三简中测试服玩家,538,4,"有个人问我，为什么你要污名化女武神，她们是无辜的，该骂的是ch。
我想了想，问了他一个问题：你愿意发自真心的宣布沙优酱我爱你，你是我老婆吗？
她虽然是个神侍少女，但那都是作者的锅，沙优酱是无辜的",2021-06-04 08:38:36
271268545,空白khk,600,5,"当我同时玩多个手游却只黑崩三时，mxz总是会看我关注列表把我打为其他游戏的卫兵。
我就很不懂了，我同时玩的手游很多，单对您mhy家的不满，这难道不是mhy的问题而是我的问题？",2021-06-04 07:32:19
35121234,謎桑,602,5,不会真的有人脑回路神奇到认为一个游戏会没有公关吧[嘘声],2021-06-04 14:15:27
1091229826,屏蔽多么无耻的,606,3,绝对理性这个词比傲慢好听多了，但不见得更有内涵。,2021-06-04 21:22:29
251601003,玄风う,409,5,人家公司所有游戏内的法律用的都是美国法律,2021-06-05 09:07:43
181905593,不想透露名号的某人,475,5,"把我的评论删了对吧，好，我再发一遍
我已经想好剧本了：原来米桑一直没有公关，这一次招聘才有，所以说之前的旧账一笔勾销，再提就是mzr。至于损失了的那些东西，那是没有公关的米哈游做的，关我有公关的米哈游什么关系啊，然后福利版本来一个，评论区又开始载歌载舞了。韭菜越长越好，然后又该割了",2021-06-01 23:12:20
19346367,wasd1122,497,5,在这次事件中，有玩家去mhy公司骂他们，为什么我看不见有人去公司支持他们并且录音发出来呢[doge],2021-06-04 20:44:54
1091229826,屏蔽多么无耻的,509,3,原本以为芽衣生日就会结束的事，现在让我感觉到琪亚娜生日都不会结束。,2021-06-04 21:21:19
335113641,吾妻已死名讳符华,166,5,"大佬们发融号视频向mhy发出反抗那就该让大家都看到！从今天起，我每天发10个《墓碑》里的融号名单，以下为第6份名单：
1.【崩坏3   融号，退坑一气呵成，是魔怔人中的豪杰。（建议全程2倍速）-哔哩哔哩】https://b23.tv/iwWTWS
2.【跑路咯，上仙再见-哔哩哔哩】https://b23.tv/POhE6i
3.【祝你前程似锦-哔哩哔哩】https://b23.tv/M0ZWCA
4.【嘿嘿嘿，我没疯-哔哩哔哩】https://b23.tv/E6yR5E
5.【一位姬子党的消失，融掉他一直等待她的休伯利安-哔哩哔哩】https://b23.tv/5TRZqP
6.【祝 米 哈 游 越 来 越 好-哔哩哔哩】https://b23.tv/Q6dH95
7.【【崩坏三】奇怪的原因，奇怪的时间，奇怪的道歉——痒妈浅析兔女郎道歉事件-哔哩哔哩】https://b23.tv/WHdxZe
8.【xdm  脱离苦海对mhy彻底失望-哔哩哔哩】https://b23.tv/SzOboP
9.【真是应该听劝的，两三个人都没拦住我这个傻篮子入坑，-哔哩哔哩】https://b23.tv/YqWuDc
10.【永远不见，崩坏三-哔哩哔哩】https://b23.tv/K25spG
我们不能让那些勇士默默的离开，总要有人记得，总要有人记录。我们今天把他们公布出来就是为了让大家看到这个公司的真正面目，站起来吧，我宁可让那些角色阵亡也不愿意让他们这样活着，我宁可没有光也不愿意活在那片虚伪的光下，我宁可粉身碎骨也不愿意继续跪着受人欺辱！打得一拳开，免得百拳来！",2021-06-05 11:01:05
471068320,黑信555,314,3,兄弟们剧情我刚弄完了先不说了，我先去卫生间吐一下,2021-06-04 20:46:40
401878555,蕾米莉亚-抱头防蹲,438,5,米哈游把理智的评论删了，留下那些阴阳怪气的，这么一个被黑子黑的无辜形象，就成立了,2021-06-01 11:37:14
386901157,恶灵系,414,5,鬼泣再不出六信不信我们立刻发动第二次魔神战争，让卡普空见见米卫兵的实力😡,2021-06-04 15:23:33
