Uid,Uname,Like,Level,Content,Time
33954536,罗德岛凯尔希,2727,5,很喜欢崩坏三的做法，为了不让中国青少年沉迷手游和纸片人煞费苦心[tv_大哭],2021-04-24 14:48:17
88107716,桂是我的i_喊我去学习,4282,6,"其实我挺好奇一件事

崩三到底从外国人那赚了多少钱啊？能有国服的几分之一啊？
                                                  ————瓶子君152",2021-04-24 18:06:26
233684831,鲲菜系厨师长,2550,5,我预言一波嗷，过不了一个月，米游社会再次上演新人卫兵教训老玩家的奇景，反正这种奇景不是一次两次了,2021-04-24 16:57:33
235906849,-_Miku_-,1388,5,米桑，直播的时候会加上字幕吗？不然我看不懂。,2021-04-24 18:36:33
64604729,累了累了不冲了,2162,5,"对在坐各位说一句：
          祝融号快乐",2021-04-24 17:53:04
29732883,remi_bronya,914,6,"兄弟们流水才是最重要的，一定要管住手别氪一分钱

兄弟们流水才是最重要的，一定要管住手别氪一分钱

兄弟们流水才是最重要的，一定要管住手别氪一分钱

兄弟们流水才是最重要的，一定要管住手别氪一分钱

兄弟们流水才是最重要的，一定要管住手别氪一分钱

兄弟们流水才是最重要的，一定要管住手别氪一分钱

兄弟们流水才是最重要的，一定要管住手别氪一分钱

兄弟们流水才是最重要的，一定要管住手别氪一分钱

兄弟们流水才是最重要的，一定要管住手别氪一分钱

兄弟们流水才是最重要的，一定要管住手别氪一分钱

兄弟们流水才是最重要的，一定要管住手别氪一分钱",2021-04-24 20:36:50
494685189,陈筱娜,1243,4,"今晚直播间搞一场有人一起组队吗[doge]
↓",2021-04-24 19:00:27
179431680,沧应玄,4083,5,"先冷处理一两个月，等有脾气的玩家全部滚了
然后发点福利来讨好新人
这不，牌坊又可以立起来了[鼓掌]
然后过个小半年，米卫兵反向洗地
魔怔人，欺负游戏公司，自绿人，帽子回扣上去
正义的米哈游高耸入云[星星眼][星星眼][星星眼]",2021-04-24 12:50:34
99565247,不中奖不改名の樱酱,3691,5,"上次隔壁暖暖韩国服那件事，本来就下架衣服算了，然后因为他们韩国服的公屏巴拉巴拉中国，它直接关服了，你敢学吗？
剑网三因为游戏内公屏巴拉巴拉中国就关服，你敢学吗？
哦，忘记了，人家是中国厂商，和你不懂，你也看不懂中文",2021-04-24 12:59:34
412586589,神神兔兔宛如一家,3822,5,谁敢冲我? [doge],2021-04-24 16:06:41
