Uid,Uname,Like,Level,Content,Time
33661026,大爱南大,4268,6,呜呜呜~TIRIRI的魔力耗完啦~要好好休息才行呢~[吃瓜],2021-03-28 19:02:16
129358089,__枫侠__,1538,5,是不是mhy都有挨骂的时候喜欢发一堆动态的传统？[嗑瓜子],2021-03-28 19:23:07
352751792,雪辰沙,790,4,生辰：预估为1972年，也就是说，学园长已经……12岁，又444个月了[doge][doge],2021-03-28 19:04:14
402635875,一名路过的芬厨,1181,4,"德莉莎世界第一可爱[崩坏3_干杯]
，
，
，
，
，
，
，ch爬",2021-03-28 19:04:44
357935747,我永远单推德莉莎-,582,5,德丽莎大人还是那么可爱那么迷人那么……啊抱歉我失态了[脱单doge]生日快乐！,2021-03-28 19:00:53
13245810,闰土高达Gaiprind,479,5,"┏━━━━━ ━━┓ 
┃███████ ┃
┃██┏━┓ ██┃
┃██┃    ┃██┃
┃██┣━┫ ██┃         清明快乐😄💧
┃██┃m┃██┃                 ╭
┃██┃h ┃██┃       ╭╯ 
┃██┃y ┃██┃           ╭  ╭╯ 
┃██┃之┃██┃   ╭╯  | ╭╯
┃██┃墓 ┃██┃        \ | /
┃██┕─┙ ██┃        \ | /
┃███████ ┃        \ | /
┃███████ ┃ 
┻━━━━━━━ ┻━━\━|━/━━━━",2021-04-03 02:38:09
12440106,冥半仙今天吃什么,726,5,"💃🏻💃🏻💃🏻💃🏻💃🏻💃🏻💃🏻💃🏻💃🏻💃🏻
🎶🎶🎶🎶🎶🎶🎶🎶🎶🎶
🌈🔮🔮🔮🔮🔮🔮🔮🔮🌈

👴🏿👴🏿👴🏿👴🏿👴🏿👏🏻👏🏻👏🏻👏🏻👏🏻
👴🏻👴🏻👴🏻👴🏻👴🏻👍🏻👍🏻👍🏻👍🏻👍🏻
🚧🚧🚧🚧🚧🚧🚧🚧🚧🚧
👒👒👒👒👒👒👒👒👒👒
👴👴👴👴👴😭😭😭😭😭",2021-04-02 22:59:49
31864637,买女孩的小男孩,370,5,"🔞🔞🔞🔞    ❎️🇨🇳😭￥💍
👯👯👯👯    ❎️🇨🇳😭￥💍
👯💂👳👯    ❎️🇨🇳😭￥💍
👯🎅👼👯    ❎️🇨🇳😭￥💍
👯👯👯👯    ❎️🇨🇳😭￥💍",2021-04-02 09:32:19
3354942,曾经消逝的梦,419,5,mhy，真可怜，又被水军欺负了吧，你应该清楚，只有我才是你的朋友，只有我爱你啊，为什么！为什么要害怕！你的朋友只有我一个人，我对你这么好，对不起，我不该黑你，但是谁叫你是mhy，原谅我，我会把所有的爱给你，我真的爱你，刚才不该黑你，对不起，我爱你，对不起，我爱你，对不起，我爱你，对不起，我爱你，对不起，我爱你，这游戏真的好啊，但是它迟早会被ch搞死，我不忍心看到你堕落的样子，让时间停在这一刻吧，现在死掉吧为，崩坏三，求你死吧，我好残忍，米哈游，原谅我，今天原谅我犯下的错误，明天会给你更多的爱。,2021-04-02 09:40:41
32660905,绯月FY,265,5,"很喜欢角色编辑的一句话:
识之律者是怎样的一个角色呢？
我们（编剧）首先迅速地达成了一个共识
就是“符华不可以成为律者”
原因非常简单
就是大家很熟知的符华这个人物
她在自己的漫长的人生里面都一直与崩坏作战
数千数万年的时光她都一直在持续着抵抗崩坏
如果这样子的人物她成为了律者她被崩坏侵蚀了
那将对这个人物的基本盘造成完全不可逆的影响
然后
她成了兔女郎",2021-04-03 22:39:17
52053614,Muesli7,120,4,".                        /´ /) 
                       /¯ ../
                     /... ./
                    /... ./
              /´¯/' ...'/´¯`.¸
          /'/.../... ./... ....--
        ('(...´(... ....... ,~/'...')
         \.......... ..... ..\/..../
           ''...\.... ..... . _..´
             \....... ..... ..(
               \..... ..... ...\
     s    吧   ，煞    笔    策   划",2021-03-30 22:37:13
22789894,银河的灰燕,100,5,来人，把ch砍了给德丽莎庆祝生日,2021-03-29 11:44:24
502617170,想当欧皇的非酋QAQ,133,4,"姓名：德丽莎
代号：老婆[doge]
身份：天穹城现役偶像和我老婆[doge]
武器/装备：不明
 
——魔法少女TeRiRi？不好意思，你认错人了！",2021-03-28 19:59:30
155955190,记忆中的小辣椒,233,5,别骂了别骂了，直接退游加取关吧😄就是因为你们这些人还有利用价值，官方才会这么有恃无恐的，先退个100万，再让mhy来求你回来吧😄,2021-03-29 15:13:51
548075819,DY彦曦,63,4,你们别骂了，我都赞不过来了[doge]，原神玩家表示你们最好疯狂冲，我们已经把武神钟离冲回来了 ，现在你们加油，看好你们，冲冲冲！！！[脱单doge][脱单doge][脱单doge],2021-04-05 14:53:41
436124771,戮剑仙,157,5,[翻白眼]老婆是真的好看，吃相是真的难看,2021-03-28 19:06:26
8157668,见到我快让我滚去学习,258,5,好好想想为什么会到这个地步，以前越喜欢现在就喷的越狠，我相信好多人跟我一样[辣眼睛],2021-03-28 19:02:19
11818534,夏日の幽灵,85,5,".                        /´ /) 
                       /¯ ../
                     /... ./
                    /... ./
              /´¯/' ...'/´¯`.¸
          /'/.../... ./... ....--
        ('(...´(... ....... ,~/'...')
         \.......... ..... ..\/..../
           ''...\.... ..... . _..´
             \....... ..... ..(
               \..... ..... ...\
     s    吧   ，煞    笔    策   划",2021-03-29 00:14:04
9009593,我叫盐,59,5,"舰长日记：今天去女武神工作的地方看了看，发现在舰船里都不对我笑的女武神穿着兔女郎对说英文的人笑的很开心。她跟我说在工作。我都知道的，但是我不在意，只要她开心就好。
女武神们难得穿着好看，却没机会看到了",2021-03-29 12:50:09
319197497,原批管理员,115,5,"我看了下来龙去脉，挺好笑的
Mhy给外服搞了个专属活动，开头女武神集体穿兔女郎装跳舞，活动剧情是因为女武神赌博欠了一屁股债于是去舞厅穿兔女郎跳舞还债 然后节奏就炸了 一些角色厨觉得自己被绿了(墙内爱答不理高冷 墙外直接兔女郎热舞) 也有一些人把不能卖福利的锅扔给__(好吧其实也有一些原因)我是觉得挺蠢的 不过尺度确实很大",2021-03-30 00:38:51
54207290,想改ID的阿c,79,6,"德丽莎我lp
ch爬",2021-03-28 19:00:40
613618491,泳装拉弥亚,68,3,我大神州的守护者尽然是个兔女郎c位，还要印成立牌免费给外国人观赏把玩，妙啊,2021-03-31 01:18:45
519501265,九幽黎殇,63,2,"兔女郎服在西方文化圈是有很深的暗示色彩，除了性以外，还有地位低，比中国的洗头小妹都低，因为她们是免费的，还有一些他们才懂得梗，这些都是国内的人都不清楚的。利用这些信息差塑造出来的优越感刺激非常大，再加上这两年本国对他们产生的焦虑需要发泄。这季度赚的💰会是非常美丽数字。而且这也算是一种投名状，表现自己态度非常低下。（复制一位老哥的）
几年下来氪了小几万了，知道吗现实这个价格你可以玩到不少真的兔女郎，而我用这钱在游戏里给外国人养了兔女郎。所谓神州仙人，在人家眼里一样是个卖肉的兔女郎罢了。你心中的女神，在洋人的眼里，就是只鸡罢了。这种跳脸级别的侮辱，可能那些觉得能接受的玩家是我国最后一批太监吧？（复制的）",2021-04-03 02:03:02
167497476,卓_不凡,37,5,"——————————————————————
[呲牙]🐏🐏🐏🐏🐏🐏🐏🐏🐏🐏🐏🐏[呲牙] 
[呲牙]🐏🍍🍍🍍🍍🍍🍍🍍🍍🍍🍍🐏[呲牙]
[呲牙]🐏🍍  崩坏  👯👯👯 3rd     🍍🐏[呲牙]  
[呲牙]🐏🍍国际版👯👯👯三周年 🍍🐏[呲牙]
[呲牙]🐏🍍🍍🍍🍍🍍🍍🍍🍍🍍🍍🐏[呲牙]",2021-04-05 23:08:13
362841594,平凡的流浪者,94,5,请问舰长去哪里了，国际服可以不提，但舰长呢？呆鹅剧情可以说不认识或不熟，迷迭可以说出去了，这次呢，这次又去干嘛了？你要边缘化舰长就直说，别整天当谜语人,2021-03-28 19:56:32
404602310,起名超男,45,4,"特日日生日快乐！[崩坏3_干杯]
但是你家ch要爬的",2021-03-28 19:01:40
24593792,夜羽寒枭,40,5,"检索中………项目《天穹市偶像那些事儿》[脱单doge][脱单doge][脱单doge]
［高级机密］：
姓名：德丽莎
代号：——
年龄：［数据删除］
尝试恢复年龄数据………恢复失败………再次尝试恢复，恢复成功，年龄数据为：（         ）

（脑后一记重击）
眼前一黑，为啥有犹大和核基红龙拍过来………[崩坏3_路过][崩坏3_路过][崩坏3_路过]",2021-03-28 19:07:25
496188810,没有选空的痛苦派蒙,75,4,"呜呜，错的都是我们这些部分国服玩家，错就错在我们玻璃心，我们严于绿已，呜呜米大人怎么会犯错呢？毕竟米大人管不到国际服呢！
我在此仅代表我自已向985运营倒歉，都是我的错[星星眼]",2021-03-29 12:36:52
15620269,尘染枫丶,42,5,盲猜一波，是不是崩三ch看原神团队赚太多导致的心理不平衡，所以作了好几个版本，想搞凉崩崩崩好换组？,2021-03-28 21:45:23
41745539,苍天之捷特,92,5,"U1S1，外服视频我看了，一股子同人MMD的味道。试想一下，国内运营的外国游戏，拿别人角色做这么一出，肯定都骂运营NC。怎么一到外国就变味了。说真的，看完我满脑子的外国人真没下线。我日本手游也玩过几个，真没见过这么干的。合着别人家的角色就能随便糟蹋吗。
你国服运营也别装死，你要知道自己是国产游戏，你最大的用户永远是国人，别为了一点既得利益就失去更多东西。[微笑]如果这波真是外服自作主张瞎搞的，请在日后给出制裁。别恶心自己人好吗。",2021-03-28 19:48:02
38217559,栀子花酱-,76,5,好家伙，国际服那个兔女郎咱就不提了，碧蓝那边也有，就那剧情，那台词，你搬过来，我tm第一个冲死你，什么破东西。,2021-03-28 20:23:41
436124771,戮剑仙,91,5,没人喷不是游戏环境变好了，而是老玩家都喷累了，留下来的都是无欲无求的咸鱼，且玩且珍惜吧[翻白眼],2021-03-28 19:08:38
17892100,海泛映天的蓝,32,5,"借楼借力
（复制他人，接着删，不断完善）
https://b23.tv/YVWjnq 冷处理https://b23.tv/pOr6p0 😅https://b23.tv/Lqnf1g
https://b23.tv/fJh8Ux😅
看看吧这就是崩坏三外服的狂欢
这波啊 什么国内不过审 国外自己搞 全破了 当场护甲穿透
https://b23.tv/hlaIVR
美汁汁
米卫兵(护米哈游的来一个④一个）
舰长这边请https://b23.tv/J4m8P3（已被删除）崩坏3是唯一一边卖玩家角色婚纱，一边让角色出去当兔女郎卖肉，同时还维持着高冷百合人设的游戏，我愿称之为二次元新约——后宫、lv nu、百合三位一体，前无古人后无来者的绝世神作。
（复制）
热知识:外包工作室之一的木子岚删除了崩崩崩相关的微博？好像是不想让大伙知道MV其实是在国内做的原来是自己人啊
兔女郎服在西方文化圈是有很深的暗示色彩，除了性以外，还有地位低，比中国的洗头小妹都低，因为她们是免费的，还有一些他们才懂得梗，这些都是国内的人都不清楚的。利用这些信息差塑造出来的优越感刺激非常大，再加上这两年本国对他们产生的焦虑需要发泄。这季度赚的💰会是非常美丽数字。而且这也算是一种投名状，表现自己态度非常低下。（复制一位老哥的）
几年下来氪了小几万了，知道吗现实这个价格你可以玩到不少真的兔女郎，而我用这钱在游戏里给外国人养了兔女郎。所谓神州仙人，在人家眼里一样是个卖肉的兔女郎罢了。你心中的女神，在洋人的眼里，就是只鸡罢了。这种跳脸级别的侮辱，可能那些觉得能接受的玩家是我国最后一批太监吧？",2021-03-31 21:04:50
173523224,全通滤波器,64,5,"黑渊白花惹怒强度党，
外服兔女郎气哭厨力党，
就这么想把崩三玩家赶去原神[霜叶-疑问]
还是真的就让我们：爱玩玩，不玩滚？[无语]
（[大哭]符华，我的唯一真仙，我的高岭之花，我才不想看到那个扭来扭去的符华呢！你以为很多玩家留下来是为了什么，还不是为了那些个性鲜明的女武神，就算不为美好而战，起码别毁人设行吗？[大哭]）",2021-03-28 19:49:06
61973294,枫枝红叶,42,5,"转载，原帖来自米游社用户空山和雲
在微信，支付宝找出具体的充值消费记录。以微信举例:
1.点击“钱包”,然后点击右上角“账单”
2.进入账单后，点击右上角右.上角“统计”
3.进入统计界面后,下拉,在“支出排行榜”内找到“miHoYo games“这一选项, 点进去就可以看见进一年来在米哈游的消费记录
4.点击每一笔记录,然后截图，截图完成后,去QQ加崩坏三官方客服,客服QQ号:800189596
加完之后,跟他要求***,然后把你的游戏id,电子邮箱,消费记录截图发给他(一定是单笔订单的截图）这时候他肯定会给你开电子fa piao,不慌,跟他要纸质的(作为消费者,根据消费者法规,我们有权利选择罚瞟形式),同时一定要说明白,每笔订单都单独开一张fa piao。
放心,米哈游不会真给你开的,如果有足够多的玩家同时要求开纸质fa piao，他真给开了能累死他
这时候不慌，直接打纳税服务热线，电话号:021-12366
然后按1-4-4即可人工服务,可能要排队耐心等等(注意,米哈游上海公司一定要打上海的区号021)
步骤二:人工服务直接投诉不给***
步骤三:提供mihoyo相关信息地址和公司全名(上海米哈游影铁科技有限公司，上海市嘉定区银翔路655号1幢11层1101室)
步骤四:等(3-10个工作日)
只要投诉人数超过一定数量国税局就会给mihoyo打电话督促罚瞟的发放
这时候我们的目的就打成了,如果真的有足够多的人参与,ch绝对会妥协,而不是像曾经那样删帖控评,置之不理。
这时候,停止施压。大功告成
重复重点:
1.定要求开纸质fa piao!2.定要打纳税服务热线!",2021-03-31 00:25:59
15635623,Special_Tune,48,6,发个兔女郎光速删评[吃瓜],2021-03-28 19:44:31
13781885,大头熏,18,5,要不向隔壁学一下邀约系统？来这个648大大滴有,2021-03-28 19:01:23
400862574,长安__IrgL,62,4,👴喜欢兔女郎给爷整一个,2021-03-28 19:31:43
401132789,Love-栀,20,4,不，我没有认错[doge],2021-03-28 19:00:56
433824366,零凛夜晔,14,4,"（很重要请看一下）我觉得这老哥的话挺有道理的，转发一下
同志们，诚如诸位所见，mhy发了新的动态，这或许意味着最终的战斗即将开始
此举已成功分散了我们的火力，大量火力已经被吸引到了新三条，短短两个小时直冲一万评
但是我们在主战场的火力已经严重不足，我们在官方发表的、唯一一个相关公告下的火力已经被严重分散了，这是mhy所乐见的
自昨夜删评以来，mhy的动向已经十分清晰了
分化，降温，回马一枪糖衣炮弹
我预计在两天之内，mhy会有下一步动作：
首先vbxz们会大举反扑——我们已被分化，刷屏战场失利
而后官方会趁机大撒好处——失利后迫不及待的回利
最后在vbxz的呼号里此事终结——我们成为跪着要饭的
同志们我要说的是，我们现在冲的不是mhy
不是兔女郎
不是🐏
我们冲的是中国玩家的脊梁之气！
解神者在进犯我们底线后我们重拳出击打跑了他们，但是这次在众人围望的情况下，mhy公然踏碎我们的底线，这意味着什么？
意味着中国——这全世界五分之一的巨大市场，不过是一群一回紧二回松的【】！！
我们这一次打的不是mhy，是要打所有试图进犯我们底线的僭越者！！
打得一拳开，免得百拳来！！！
我们这一次，不止要得利，我们必须要完全胜利！
我们要打得mhy跪下，我们要打得mhy听话！！
我们这一次要打出！所有中国玩家的应得权益！！
我们要打到！！
中国游戏市场！
听！
中国玩家的话！！！
【砖】。",2021-04-08 21:18:20
205575,Ark·白煌,29,6,"不闻两耳登舰声，唯闻板鸭独叹息，美女舞动舰长泪，🐏人欢乐过周年。
国服出货总是沉，件件保底若失魂，外服自选人上人！还有饭盒来相赠！更是加赠水晶返！概率又是一层高！
今年洋装兔女郎，明年带你去开房，还要带你登dua郎！
大伟常说为爱氪，游戏此番何作乐？国人氪金无福利，金钱全给外人福！昨日一去不复回！",2021-03-30 13:23:55
156545470,文学系初染,18,5,看到这个就想到天穹剧情里布朗尼学德丽莎说话[喜极而泣],2021-03-28 19:02:09
99048353,神里綾华,19,5,经典腹泻式动态分散火力[抠鼻],2021-03-28 19:25:07
10274180,墨羲_,10,5,袜子错了，游戏里是连裤袜，西内！[崩坏3_生气],2021-03-28 21:28:10
222303783,_阳炎_,25,4,看着玩家流失越来越大，然而ch依旧整活[嗑瓜子]继续，看看隔壁蹦蹦的福利我就等你之后也十连半价[妙啊],2021-03-28 19:41:40
296470189,雨淋湿了记忆-,12,5,原来芽衣那个皮肤就很不喜欢了。。。单纯涩而已，旗袍什么的不比那皮强，还有上仙，你人设呐！？,2021-03-28 20:08:00
333869025,泷泽_萝拉哒,20,4,"我一直把崩坏三当成养成游戏来玩，强度怎么样我不太在乎，大家说的强度骗氪什么的我都是睁一只眼闭一只眼，直到我看到了外服的兔女郎我终于绷不住了，国内外任何的强度氪度差别我都可以接受，这次我真的太失望了，四年多的人设毁于一旦，真恶心，真的太恶心了。
删了我还发",2021-03-30 21:57:56
89028195,疯嘤铠甲,23,5,"如何评价国际服兔女郎pv
如何评价女角色卖sao
如何评价因为不同服务器而为所欲为
😅",2021-03-29 02:10:25
385018300,欧洲女神11世,29,5,哇，怎么不去和🐏大人玩了怎么开始发动态了[脱单doge],2021-03-28 20:34:02
