Uid,Uname,Like,Level,Content,Time
623775,网名真难取,671,6,好家伙，昨天5000+的评论，今天直接不到600，你说不是mhy不高强度删评我还真不信,2021-06-12 13:43:11
24505241,押子大萎配老0鸨爱酱,560,5,米桑是真的NB，我TM之前饿了，煮泡面，好家伙，刚下锅的泡面，水都还没开，一听到米桑这俩字，自个儿就糊了,2021-06-11 23:06:31
20571413,JIKS,696,5,"有人说都在乱冲的，不好好说诉求。我刚刚码字码了一大段好好讲道理的长评，直接秒删加验证码。这套组合拳下来，讲个锤子道理呢？
很难不让人流汗黄豆啊。",2021-06-11 13:44:46
150064865,雨晴羽之殇,493,5,兔女郎，老师，赌场。你怎么有脸说的，人设崩塌还没搞定呢，庆祝生日，给了你三个月时间，冷处理冷处理，靠,2021-06-11 20:57:16
2432949,黑蛆,211,5,"这是2020年的姬子生日剧情：今天，琪亚娜问我：“长大成人究竟是指什么呢？”我想了很久却只能告诉她：“指不会逃避。”

“指不会逃避。”

“指不会逃避。”

“指不会逃避。”",2021-06-11 14:05:21
30525724,最终鬼畜妹。,218,5,"防止大家忘了米哈游干的事
游戏旧问题
1：玫瑰概率诈骗，0.98％含角色碎片
2：强改“无限激光”
4：凰剑、雷刀鬼角强改属性
6：猫上虚假概率
7：“许多舰长”
游戏内问题:
1:黑渊白花，游戏装备更新换代太快
2:落地超限，大幅提升武器养成成本
3:阴间元宝，肝度高
4:命之座
总结：强推强氪，角色装备不保值
国内外对比问题:
1:国外特供毁人设的免女郎跳艳wu活动，女武神在舞台上揉胸撅屁gu，同时简中上架“纯洁的”花嫁
身为“神州守护者”的国风角色符华特地放在c位摸臀
2:中国七夕只过了一次，日本七月七的七夕常过，且某次日本七夕活动标题为“今夕是何日”（您也就记得自己⭕➕的丧日了）
3:简中服活动圣痕数量少于日服，且大量活动圣痕为空降，缺少剧情
4：简中服没有月下后续剧情，月轮皮肤没有剧情
5:某小八剧情中，简中和日服俩舰长人设都不一样。简中纯逆天，日服亚撒西
6：日服情人节活动独占的一套游戏CG，简中周边5.20上新可购买，情人节活动简中有都没有，却可以购买外服的情人节活动CG
7：日服情人节包含6个独占CG及重复播放的道具，这东西简中连见都没见过
8：600氵更新福利立刻同步国外
官方特殊操作:
1.东电级冷处理能力，玩家炎上23天直到外服活动结束后才给出回复
2.国内“道歉信”没有公章，回复极其敷衍（无处罚通告与错误分析），认错部分描述模糊，且“道歉信”只有国内有认错内容，国外没有（miholo来源）
3.面对重大节奏直播用依然录播
4.官方发二创激励挡刀
5.因为官方公告为“修改”，所以八重樱免女郎圣痕压根没下架，且拥有者仍可在图鉴查看，同时国内上架八重樱花嫁
6.不与台省有“武月市”发言的coser第时间解约， 并在公告“解约并下架合作过的视频”后没有下架相关视频，直到被人发现（多人不算合作？）
7.百度百科、维基百科近期额外添加了一条“兔女郎不是xx”，但英文版维基百科并没有添加该语段，即该修改来自国内",2021-06-12 16:05:17
432007892,凯文Kaslana,158,4,"A：我跟你说，我最近看到一个新的歇后语。我说前半截，你猜猜后半截。
B：不会又是啥奇奇怪怪的歇后语吧。
A：咋能啊，这歇后语传播老广了，大家都知道。
B：哦，那你说。
A：女武神出国。
B：额，大杀四方？不会是拯救世界吧？
A：不是，都不是。再猜。
B：猜不出来，你说。
A：你这都不知道啊，当然是女武神出国——骚的一批还又当又立。
B：哈哈哈哈哈，你别说还挺贴切的。
A：我再给你说一个，米哈游道歉，你猜两种生物。
B：这猜啥啊？鸡？难道是兔子？
A：偏太远了，答案当然是蜻和羊了啊。
B：为啥？
A：因为米哈游道歉——鼻中揪蜻和银羊拐旗还愣出力。（避重就轻和阴阳怪气还冷处理）",2021-06-11 22:19:35
25224504,米哈游株式社会,152,5,敢不敢把你在推特上面得丑陋嘴脸摆出来让大伙瞧瞧，让大伙见识下毫无下限的嘴脸，体验下极致的恶心感[辣眼睛][辣眼睛],2021-06-12 03:46:52
24959887,世界上只有一个中国,134,5,这届xz和原批不行啊，都说氪爆怎么昨天流水峰值还不到10w[吃瓜],2021-06-12 14:05:54
20150917,临床医学的诞生,106,5,"https://t.bilibili.com/534934117980639894?share_source=copy_link&amp;share_medium=android
这张图不过审的原因是什么？

哪里来的不过审，这就是那个985ch最后的倔强了，事到如今还以为自己有多特别，做缩头乌龟做得壳都发霉了还要用尽各种手段去恶心玩家：你可真TM是我们985之耻啊[嗑瓜子][嗑瓜子][嗑瓜子]",2021-06-12 13:48:36
196622172,森丿到了头,186,5,"接着删呗，让别人好好看看你的嘴脸[微笑]
【欢太游戏】「崩坏3 x 原神」联动开启，登录即送联动SP角色「断罪皇女！！」。联动期间，累计登录可领取15连抽，参与主题活动「异世行记」，还可免费获取神恩颂歌新装「四叶草的温度」、联动勋章、纪念圣痕等奖励！专属激活码：8TPJDPGDRYV3  登舰入口： https://opdwz.cn/eYZVNju  退订回T",2021-06-11 14:30:08
173314508,浅流_,104,5,mzr差不多得了，沉默的大多数让5月流水比4月还高了一点点，崩坏3蒸蒸日上哦，懂不懂什么叫鸡场的含金量啊。😅😅😅,2021-06-11 21:19:41
52876953,煮饭婆想要做饭,81,5,xswl，直接删到1000评不到，还说你们没有公关啊[嗑瓜子],2021-06-12 10:31:01
1969191913,很难不佛了,89,2,端午送圣诞徽章，好贴心，mhy我好爱你[给心心],2021-06-11 23:22:35
