Uid,Uname,Like,Level,Content,Time
27178156,杯子砸到脚趾头,2120,6,"吼姆    吼姆    吼姆   吼姆    吼姆
  床床床床床床床床床床床床床床
床床床床床床床床床床床床床床床
床床床床床床德丽莎床床床床床床床
床床床床床床床床床床床床床床床床
床床床床床床床床床床床床床床床床",2021-03-28 12:24:35
151176413,翔鹤ちゃん,1877,5,年过半百之老妪，何以如此惺惺作态与？[doge][doge][doge][滑稽],2021-03-28 12:07:03
3443416,磁爆步兵54,1701,5,"“我会对德丽莎负责的。”
“舰长可以弯下腰吗？我也想拍拍舰长的头呢。”
“好呀～”
（然后掏出犹大）[脱单doge]",2021-03-28 12:07:26
399790252,尘世间落霙缤纷,490,4,德丽莎世界第一可爱![给心心],2021-03-28 12:06:00
480056116,憨白甜,400,5,"月下：人类，太过分了！明明我也可以的！
德傻：就是就是，明明是我先来的，不可原谅！
观星：我说二位大可不必如此动气，我有想法二位请听我道来。此人就一大猪蹄子，每个版本一更新就到处女武神老婆，如此三心二意实在可恶至极。那就应该让他尽到自己的本份才是，二位觉得呢[脱单doge][脱单doge][脱单doge]",2021-03-28 13:59:10
2748119,Kleimann_中島,287,6,多少人还记得当年德莉莎生日发烧那个cg[doge][doge],2021-03-28 12:19:39
343918189,炸薯条嘻嘻,248,4,"麻烦让我上一下热评谢谢[无语]
关于这事我个人感觉就是，官方已经不知道怎么处理了，和钟离事件不同，这次不是加强什么角色或者送点石头就可以解决的
我不代表任何人，我个人提出点要求
1：删除外网你们发的所以和兔女郎有关的视频，文案，其中包括但不限于游戏内的兔女郎内容，推特，YouTube的内容，以及关于声优的视频，把所有兔女郎图案删除改用正常图案
2：关于送的符华兔女郎，改送抱枕钥匙圈等等，但是不可以图案是兔女郎类的
3：关于此事件的负责人，亲自出来和国内玩家道歉，并且保证再也不会出类似问题，直播也好，视频也好
4：只要是你们运营的，关于国外玩家的福利活动，必须保证和国内同步，不可以区别对待，目前就我所知是只有韩服不是你们运营的
PS：不不晓得你们会不会看，或者看了直接装死，我也不要求任何补偿，反正我话放在这里了，要删除你们就删除，我复制了，我会接着发[无语]",2021-04-04 15:52:43
375537239,kamiranya,240,5,生日剧情和活动剧情里多久没舰长了[doge][doge],2021-03-28 12:31:18
473137955,hhhhhhhhhhhhhhjp,414,4,最后琪亚娜布洛妮娅逃走的图呢？,2021-03-28 12:06:35
97195309,黎丨丨丨,303,6,我特别喜欢一位崩三玩家的话，《你们国服》,2021-03-28 13:16:25
31059288,fly克西,168,6,上次德丽莎生日还有舰长的剧情呢[tv_皱眉]还有人说蹦蹦蹦主角是草履虫，我都服了，那一开始不给舰长这个角色或者具象化成某个人物不就行了吗？让玩家完完全全成为一个剧情的旁观者，现在玩家是舰长，女武神在哪今天打架明天拼命的，让作为主角的舰长有点作用吧。看看隔壁少前，指挥官戏份原来越多，再回头看看这个，舰长戏份越来越少直至这次春活外传直接不提了，emmmmm，算了[tv_皱眉],2021-03-28 15:58:13
97237471,泷霂珑歆,171,5,承认您的美工国内鲜有人比，也佩服您的策划世间少有,2021-03-28 17:21:57
14617719,某夙晖,104,6,我是认为问题重点不出在国服国际服差异上，而是出在人设崩坏上。,2021-03-28 16:10:58
22415160,奋斗的琳钦,75,5,去年那张 被玩坏了.jpg[脱单doge]还有嘛[脱单doge],2021-03-28 12:12:28
85650317,暮风晚,69,5,听一两句就觉得不太对了，这草味儿和奶味儿太重啦[笑哭],2021-03-28 12:32:46
7663231,黑色之心,119,6,擦甲板擦了5年你们心里应该最清楚玩家为了什么而留下[抱拳],2021-03-28 13:45:55
451028798,私生女机械姬,81,4,今天德莉莎过生日，放过策划一条狗命 [doge],2021-03-28 12:06:30
293588305,Designdarkness,83,5,"兔女郎服在西方文化圈是有很深的暗示色彩，除了性以外，还有地位低，比中国的洗头小妹都低，因为她们是免费的，还有一些他们才懂得梗，这些都是国内的人都不清楚的。利用这些信息差塑造出来的优越感刺激非常大，再加上这两年本国对他们产生的焦虑需要发泄。这季度赚的💰会是非常美丽数字。而且这也算是一种投名状，表现自己态度非常低下。（复制一位老哥的）
几年下来氪了小几万了，知道吗现实这个价格你可以玩到不少真的兔女郎，而我用这钱在游戏里给外国人养了兔女郎。所谓神州仙人，在人家眼里一样是个卖肉的兔女郎罢了。你心中的女神，在洋人的眼里，就是只鸡罢了。这种跳脸级别的侮辱，可能那些觉得能接受的玩家是我国最后一批太监吧？（复制的）",2021-04-02 13:14:09
438670555,正常人不适合上网,101,4,那啥，兔女郎那事儿，这种一点儿米味都没有的，你们羡慕啥啊，b站搜搜都能找到比那个好的[辣眼睛]不过既然有人把节奏带起来了，我还是很期待米忽悠整个视频平息一下的[狗子],2021-03-28 12:35:54
341719568,路旁荆,57,4,七级后的探索强化可以去哪？[疑惑]为什么我找了半天没找到，那些都要15级，有知道的告诉我一下[脱单doge],2021-03-28 12:24:42
519232460,东方辉耀不做人,56,3,世界第一矮生日快乐[doge],2021-03-28 12:11:28
452992997,___阿呆,73,4,"——————————————————————
[呲牙]🐏🐏🐏🐏🐏🐏🐏🐏🐏🐏🐏🐏[呲牙] 
[呲牙]🐏🍍🍍🍍🍍🍍🍍🍍🍍🍍🍍🐏[呲牙]
[呲牙]🐏🍍  崩坏  👯👯👯 3rd     🍍🐏[呲牙]  
[呲牙]🐏🍍国际版👯👯👯三周年 🍍🐏[呲牙]
[呲牙]🐏🍍🍍🍍🍍🍍🍍🍍🍍🍍🍍🐏[呲牙]",2021-04-04 09:57:47
398714697,顾鸢宿朽,45,3,"琪亚娜体内的律者被奥托激活，我什么都做不到 

女武神们一个个被空律打趴，我什么都做不到

 姬子燃尽生命挑战空律，我什么都做不到

 符华被奥托枪决，我什么都做不到 

琪亚娜孤身将一枚核弹带离苍穹市，我什么都做不到 

布洛尼亚坠入量子之海，我什么都做不到 

芽衣为拯救琪亚娜重新成为律者，我什么都做不到 

女武神们在国际服扮成兔女郎跳热舞，我什么都做不到 

舰桥清扫四百天，我当这舰长有何用",2021-04-04 03:30:40
294286193,宝木水奥Lily,70,5,"麻烦让我上一下热评谢谢[无语]
关于这事我个人感觉就是，官方已经不知道怎么处理了，和钟离事件不同，这次不是加强什么角色或者送点石头就可以解决的
我不代表任何人，我个人提出点要求
1：删除外网你们发的所以和兔女郎有关的视频，文案，其中包括但不限于游戏内的兔女郎内容，推特，YouTube的内容，以及关于声优的视频，把所有兔女郎图案删除改用正常图案
2：关于送的符华兔女郎，改送抱枕钥匙圈等等，但是不可以图案是兔女郎类的
3：关于此事件的负责人，亲自出来和国内玩家道歉，并且保证再也不会出类似问题，直播也好，视频也好
4：只要是你们运营的，关于国外玩家的福利活动，必须保证和国内同步，不可以区别对待，目前就我所知是只有韩服不是你们运营的
PS：不不晓得你们会不会看，或者看了直接装死，我也不要求任何补偿，反正我话放在这里了，要删除你们就删除，我复制了，我会接着发[无语]",2021-04-03 18:34:16
21072000,龙在笑,79,6,热评那个鸽子还开小号。伪造客服截图。说了一句还被拉黑了，现在洗白了没人记得了吗？,2021-03-28 13:04:50
87369426,亵渎一二三,81,5,"【崩坏3】国际服3周年限定纪念剧情 天穹夜之旅（已完结）
这是具体情况可以看看，别被别人带节奏了，貌似是因为姬子玩牌结果被胡狼出千输个精光，在小八的帮助下才成功，并挫败了什么阴谋，最后舞的观众只有老杨奥拓凯文和咱。

麻烦帮我顶一下可好，给这些魔怔人看看。",2021-03-28 13:53:17
38153425,遂意命名,84,5,想让发国服的自己想想，在国服发是想让mhy被封吗？之前圣痕立绘就因为有点出格结果全被改了，互动也停了好几个版本，泳装全游戏都被隐藏了，如果这次在被引起注意估计又要全部整改，最后倒霉的还是玩家，如果不想整个游戏被和谐就别带这个节奏,2021-03-28 13:50:24
