Uid,Uname,Like,Level,Content,Time
523505300,丨雪含丨,1000,4,有一说一，用户粘性我是真看到了，毕竟阴阳师，第五人格，大话西游，csol、三国杀我基本都是好聚好散卸了就收手了，能让我骂三个月的游戏就你一个,2021-06-17 11:28:29
443399460,逢魔时王形态,322,3,"充钱在崩三时刻

控评是必修的课

你看着这孝子有多辽阔～

因为他们爱洗地～[doge]",2021-06-17 22:10:41
354685690,淸絃,346,5,"我直接在你评论区唱歌😅😅😅：
    
   BRILLIANT BRIGHT

Shine a light on your life

Shine a light on your life

Fly away far away

Fly away far away

Take a breath imagine the brightblue sky beyond the clouds

彼方先の最盛の景色を

解かれてく憂いのすべて

綻びだす想いたちよ

Shine a light on your life

暗闇に朝日が咲いてゆくようにShine a light on your life

閉じていたその目に希望を映そうFly away far away

どこまでも自由に舞う羽のようにFly away far away

高鳴りのはじまりへ心共に行こうCan you feel a changing windEverything may be alright

やがて来る快晴を望んで

頬を撫でる優しきすべて

恐れさえも包むように

Shine a light on your life

爪先で打ち鳴らす

リズムに乗るように

Shine a light on your life

その心軽やかに

明日を迎えに行こう

Still believe思い出す彼の日を全て変わる前の世界を

Still blowing風に吹かれながら巡る空の向こう想う

Shine a light on your life

暗闇に朝日が咲いてゆくようにShine a light on your life

閉じていたその目に希望を映そうFly away far away

どこまでも自由に舞う羽のようにFly away far away

高鳴りのはじまりへ心共に行こうGo on everything will be alrightjust carry on

A bright future is awaiting you

蚌埠住了😅😅😅😅😅😅😅",2021-06-17 23:55:06
382157745,带带肥宅-,861,5,"以前那个RNM退钱的国足视频相信大家都看过
全场都在骂，唯独最后一个小伙子来了句“我相信国足，国足NB！”
 最后他被打了
 他为什么被打？
 错的不是他喜欢、相信国足
 错的也不是其他粉丝过于极端
 错的是：
 在一个国足屡次让球迷失望，屡次认识不到自己的问题，大家都在借助这次采访表达自己的失望并希望借此让国足正视自己时
他跳出来给了国足一个台阶下，媒体也确实抓住了这一根救命稻草立马把这个“特例”夸大成“看起来还有相当一部分人是相信国足的”。
 可以说，如果最后这个人不跳出来喊国足NB，那么记者只能以“看起来大家都对国足很失望，希望国足正视这次问题”来收场，让替国足讲话的官媒和国足本身在全国面前都非常难堪，从而真正正视自己
 可就是这个小伙子，他毁了之前“关公”、“退钱哥”、“眼镜哥”所有人的努力，成功被官媒利用成了台阶，把原本明明就是“国足很差劲”的客观事实描述成了“一部分人认为国足差劲，还有相当一部分人相信国足”，关公他们对国足的唾骂成了他们“主观上认为”
 这次事件中，又有多少人自认为自己是理中客，自认为自己是“合理地”表达自己对作品的喜爱，实际上却成了官方的“台阶”呢？😄",2021-06-16 23:33:16
507030457,观星大人tri,649,4,我是真的不信你游的ps5是随机的，毕竟你们连中奖名单都能修改还有什么做不出来呢,2021-06-17 11:37:17
38431171,快乐的小北方酱,243,3,我在说把所有原神玩家都是原批的评论下面说，只是一部分是原批，我骂的是原批，然后就被一个自称原批的人说我把原神玩家打成原批[怪我咯],2021-06-18 09:31:34
472891108,炼狱养蛆人广目天王,82,3,"mxz们:不想玩就取关卸载默默离开，非要冲不是魔怔?
钟离:?当初你们可不是这么干的啊。
mxz们:有些人真是黑魔怔了，不管一个事是真是假就信。
钟离:?当初你们不是这么干的啊。
mxz:只要ch不犯法干什么都没错，没人逼你玩这游戏。
钟离:我。。。。。。
mxz们:别冲角色，角色无辜，冲角色的都是mzr。
钟离:天动万象!你们这群人当初可不是这么干的啊!!!
[喜极而泣][喜极而泣][喜极而泣]",2021-06-18 11:31:25
1070214988,慕星黎,294,2,看我动态兄弟们我立功了[嗑瓜子],2021-06-17 20:41:06
143147906,天使之翼恶魔之心,462,5,mhy犯错了，找一个犯错更大的就能证明mhy没错？这不和废虾一个逻辑吗？,2021-06-17 17:05:26
433287493,我再也不搞黄色了,773,5,我从未见过公信力如此之低的公司，玩家甚至都不相信你抽奖是抽给玩家的,2021-06-17 07:57:55
523505300,丨雪含丨,379,4,祖传三代庸医，第一代头痛开颅，脚痛锯腿，病患虽然残疾，但起码病是去了。第二代就厉害了，是头痛医脸，脚痛也医脸，红光焕发，看不出来病就算好了， 病好不好不重要，面子最重要。第三代更邪门，头痛堵嘴，脚痛也堵嘴，病人喊不出声叫不出痛来，就算治好了 。,2021-06-17 09:23:50
613618491,泳装拉弥亚,299,3,"崩三:40，623
原神:241，343
王者:3，732，568
和平:1，475，318
摩尔:946，239
今天手游界又是被黑暗笼罩的一天，丝毫看不到光明",2021-06-18 10:19:44
25301374,啊哈哈哈哈哈哈哈哈XD,299,5,你们不要鲨了ch哥哥啊[大哭]，他这么为我们着想，你们却一直骂他，你们这群mzr能不能有点良心啊??让ch哥哥去祸害原神不好吗[滑稽],2021-06-17 21:22:53
143147906,天使之翼恶魔之心,415,5,一有事情来冲mxz就：tx水军，tx水军的。怪不得一次一次冷处理成功哦。,2021-06-17 22:08:28
4216464,赤霄-凌云,596,6,上一次的抽奖黑幕还历历在目，连中奖名单都能随便改的公司，连下架自家活动都需要赔钱的公司，把玩家诉求当做噪音的公司，你游公信力低到离谱。,2021-06-17 10:39:09
158519998,黛朵女仆的专属指挥官,248,5,我有一个问题，我以前动态里面也有原神抽奖，名字还叫诺艾尔单推人，头像也是诺艾尔为什么没人骂我yp。懂,2021-06-17 17:04:45
523505300,丨雪含丨,494,4,"玩以为崩坏3rd吧和米游社都是结晶，没想到今天逛了一下崩坏3rd吧看到个讨论《神舟折剑录》的帖子。
问：这几个徒弟是受不了上仙才走的吗？也没必要啊？不想在这可以走。
答：七剑扫黄大队。
[笑哭]全是类似的评论[笑哭]提纯效果不行啊。",2021-06-17 17:49:38
1091229826,屏蔽多么无耻的,407,3,"刚开始是你们中人给兔女郎辩白国服过不了审，后来其他游戏争相打脸，你们又说过不了审的是堵，又有人说后面跳舞没在堵，而是八重樱的酒居，这不是自相矛盾吗？福利这些我懒得去统计，也不会去冲这些不明不白的东西，但是从节奏开始到现在，这些话可都是我亲眼所见
哪边才是有逻辑的？最近一直霸占满屏恶心人的投降梗是怎么来的？之前四处开团的又是谁？你不会真以为崩坏三的路人缘是只是魔怔人败坏的吧，之前我遇到过那么一个人，我试着给他讲道理，他挑字眼给我阴阳怪气，把我逼急了又说我给他扣帽子，你要是想看我现在还能给你把截图找到

总之这两个月以来，所遇到的魔怔人可比孝子讲道理多了
出自用户：人鱼公主的爱",2021-06-17 20:54:14
441428638,星云后,378,5,mxz们一会说一个服务器有自己的特供很正常，一会又说哪个哪个游戏有特供了，不能忍，快去冲，人格分裂是吧🤗🤗🤗,2021-06-17 16:51:09
38340049,象拔蚌之神,443,5,"前年端午 为了立牌我还真买了端午礼盒 三个立牌6个粽子 花了185
但前年的6个粽子都是280克的  今年四个160g的粽子  两个徽章 一个亚克力插画 预售要159？？？  这™️是加大力度了？？？
再发一遍 怕各位忘掉[藏狐]",2021-06-17 08:53:05
