Uid,Uname,Like,Level,Content,Time
187358075,璎か珞し,1109,5,头一次中奖，不过还是想淦ch,2021-03-28 12:06:09
148287869,多嘛多亚sama,504,5,很多人只看到在冲鸭鸭“强颜欢笑”和外服这档事，但是不知道其实这是从4.2到现在所积累的怨气。这些破事只是导火索而已，光4.7和外服的事根本不足以这么爆炸。这波其实是mhy都把忍耐度高的玩家都得罪了，中氪小氪的不用说，现在连咸鱼看剧情，养女儿的玩家都怒了。,2021-03-28 12:08:37
357869290,爱吃鱼の喵丶,316,4,"..................................星愿祈礼
光锁迷城：                 已拥有角色可晋升s1
   「天穹」       活动期间已充值0元 前往充值
星愿祈礼|   理之律者   星愿祈礼（1/6）
霞影霓踪    强颜欢笑   累计充值6元
新春小铺                    0/6 X5 X6
等级上限开放             星愿祈礼（2/6）
天穹一刻                   累计充值30元",2021-03-28 12:02:25
262322713,Ys刻晴,123,5,那个，你们怎么喷我不管，我只知道我1660ti，除了极限画质全拉满，之前版本没问题的，这版本一直掉帧，原神崩三都掉，特别崩三的角色教学第四关，云墨放大变卡2秒，理律放大直接卡几秒，什么时候修复？,2021-03-28 12:08:30
89028195,疯嘤铠甲,127,5,👴🏻还能玩这游戏是因为我还能养女儿，现在你让我家姑娘们去跳这种夜店舞😅😅😅😅底下还一堆人冲什么绿不绿的，洗，接着洗。👴🏻不稀罕你这低质量pv，👴🏻就是要冲你这夜店舞了,2021-03-29 01:34:57
415274588,镜音洛小妖ゲ,76,4,快点把理律被迫营业的图下了，放个包菜不好吗，啥玩意，老感觉喜欢的角色被贱卖了,2021-03-28 12:16:45
59451920,难的没法呼吸,63,5,别的不说，我手机是荣耀30PRO，春节刚换的新的，打隔壁鹅厂的游戏，打原神，玩fgo，玩公主连接都没事儿，唯独玩崩三，一进去还没干啥呢就手机已经烫的要死了，弄得我还得把手机壳取下来，啥情况？，还有贵公司能不能优化一下游戏内存，为啥那些过去的CG我还得存着啊？删除之后不重新下载就不让玩？那我为什么不去看动漫呢？[疑惑]还有就是氪金，外服页面的兔女郎，可真有你们的，这舰长在内部忍受女武神百合也就算了，咋的还得让羊大人NTR？茶馆里面说的真对啊：我治不了洋人，我还治不了你？,2021-03-28 14:30:14
91539183,kiana今天不喝可乐,82,5,要不您大米哈游先统计一下玩家的建议，再设计好活动啥的，能不能别每次出活动都是只有钞能力玩家才玩的起的活动啊,2021-03-28 12:03:27
243890609,Reidqaq,35,5,能解释一下为什么台服也会有“国际服特供”吗[微笑],2021-04-01 02:54:36
29398659,铳剑与毒汤,36,6,不行，你得再横着拉一刀，让ch老爷看清楚,2021-03-28 14:08:20
87369426,亵渎一二三,85,5,"【崩坏3】国际服3周年限定纪念剧情 天穹夜之旅（已完结）
这是具体情况可以看看，别被别人带节奏了，貌似是因为姬子玩牌结果被胡狼出千输个精光，在小八的帮助下才成功，并挫败了什么阴谋，最后舞的观众只有老杨奥拓凯文和咱。

麻烦帮我顶一下可好，给这些魔怔人看看。",2021-03-28 13:52:56
496188810,没有选空的痛苦派蒙,36,4,"呜呜，错的都是我们这些部分国服玩家，错就错在我们玻璃心，我们严于绿已，呜呜米大人怎么会犯错呢？毕竟米大人管不到国际服呢！
我在此仅代表我自已向985运营倒歉，都是我的错[星星眼]",2021-03-29 12:37:53
381708963,巴巴托斯八魔王,24,5,虽然退坑了，但为各位提个建议吧，兔女郎这种有争议的东西不要拿来当冲策划的点，这样容易让那些中立玩家站到策划那一边，我还是建议用版本过于逼氪，或者那个黑白什么武器给呆鹅专属当冲的点，这样至少不会引起一些中立玩家反感[给心心],2021-03-28 14:34:16
