Uid,Uname,Like,Level,Content,Time
336481059,古河渚と岡崎朋也,528,5,挺佩服米厂某游戏的那批人，居然觉得正常冲可以让米哈游改,2021-06-22 12:41:21
507030457,观星大人tri,514,4,"很佩服一些人，花自己的钱，现在来一句""我就是个臭打游戏的，只想安安静静的玩到官服""
快进到老板欠薪，""我就是个臭打工的，老板发多少无所谓，我就想干到公司倒闭""",2021-06-22 14:03:05
143147906,天使之翼恶魔之心,624,5,"流水涨了——你说你们魔怔人冲了个啥，米哈游天下第一
流水降了——无缘无故的攀比之心从何而来",2021-06-22 12:35:52
3209326,ChrisQ2nd,428,6,这么多游戏公司谁最能打我不知道。但我觉得miholo一定是最能抗打的，毕竟三个月竟然能一声不吭[藏狐],2021-06-22 12:04:41
1091229826,屏蔽多么无耻的,176,3,"“魔怔人，为什么那天米哈游会被冲？”
“你不会问你自己吗？”

“ch快点让他们都去跳舞吧”
“呜呜呜…我做不到他们可是老板您的女儿啊”
“这是你自己开启的故事啊”

“那种事情不要啦，简中韭菜跑了什么的，我希望他们一辈子充值，被发现以后至少也要维持十年。”",2021-06-22 11:48:22
500759742,前清洁工现任指挥官,383,3,"啊？末定那边出事我一点都不奇怪，
或者说米哈游的游戏不出事才叫奇怪。
我现在就怀疑会不会有孝子又要编造圣经说，
末定改了机制都是因为魔怔人不氪金了的原因！
.如果真有这种孝子的话我可要去看猴喽。[吃瓜]",2021-06-22 11:07:21
178974832,HEXA黑血,217,5,目前融号人数大概有2658人，其中86级-85级占到71%，84级-81级占到10%，80级的占到4%，79-70级的占到9%，70级以下的占到4%，有几个W的，有10+搞W的，有20+W的，也80w的，那么问题来了，这就是“沉默的大多数”吗[辣眼睛][嗑瓜子],2021-06-22 11:50:21
481109870,Dark叔在线回收,388,5,再来一次钟离节奏，原神玩家口中的原宝直接被他们骂完祖宗三代，到时候我也要去嘲讽他们mzr[doge],2021-06-22 11:59:34
381144618,齾飝龞,411,5,米桑：吾心吾行黑如锅底，所作所为皆为放屁😅,2021-06-22 07:52:24
66310020,五年后的世界里再次看见她的笑脸,182,6,我想到一个很好的解决办法，隔壁对魔忍不是上岸了嘛，走纯爱路线。刚好差一个位置，你去填补上，搞什么sq都可以。国内过不了审核，我直接到外服玩，我不但不冲你，我还要给你好评。,2021-06-22 14:40:45
341676007,空条123,343,4,我五月四号就说了，米桑肯定要拿未定做文章，现在就差崩二，我就两个都猜对了,2021-06-22 14:25:25
143147906,天使之翼恶魔之心,141,5,深渊温度都快和印度一样人间炼狱了吧？[微笑][微笑],2021-06-22 12:24:33
336481059,古河渚と岡崎朋也,248,5,"有没有觉得隔壁节奏和刚开始的大家很像：
喜欢XX，CH爬
要冲就正常冲，把黑历史列出来
停氪比什么都管用",2021-06-22 09:57:24
94229356,君の心はまだ,313,5,前几天看的，没啥事，我还以为风波要过去了了，现在看热度这么高，突然想想，挺开心的，崩三不倒，冲你到老[呲牙],2021-06-22 00:50:58
12289881,删我昵称牛批,179,5,哈哈哈还原神作下版本又抄mhr的翔虫，不是故意碰瓷我都不信，呕,2021-06-22 10:46:45
1450111,休息6908,261,5,我的罪就是推荐过米哈游的游戏[喜极而泣]我忏悔,2021-06-22 08:24:06
382434742,不能舍弃,140,5,mhy以后就改叫hy了，因为它没m。,2021-06-22 11:03:35
11278242,好耶小丑,191,6,笑死我了，你们公司里其他游戏组是不是见ys组赚了大钱酸了啊，个个都有问题[调皮][调皮][调皮][调皮][调皮][调皮],2021-06-22 16:34:56
1794386607,我是女武神琪亞娜,261,2,"崩坏3：救命
原神：二哥抓紧我
崩坏3：一起下去吧，早就看你不爽了
未定：哈哈○。ｏ゜○。゜Ｏ○Ｏ○。°○ｏ°○ｏ○咕噜咕噜゜ｏ。Ｏ゜○。゜",2021-06-22 14:43:33
