Uid,Uname,Like,Level,Content,Time
41035726,小鲨鱼都不可以躺了,727,5,谁说崩坏三没有发高考，只不过后面跟了个理之律者键盘、贝拉人偶，拿高考当拐而已,2021-06-09 20:48:55
85502432,hongkongboll,545,5,"在今后«崩坏3»的运营中，我们一定会更加重视和舰长的沟通交流。
                           —— 崩坏3官方运营团队
笑死，零乘以多少还是等于零",2021-06-09 17:13:07
316681228,众星雨南,722,2,"米哈游有缺点吗？
有！有很多，像星星一样多。
米哈游有优点吗？
有，就一个，策划！
策划就像太阳一样。
太阳一出来，星星就消失了。",2021-06-09 17:11:55
147061717,浮沉过世,397,5,但凡，我是说但凡，你真的对国内玩家上点心，哪怕上一点，不多就一点，我想都不会有舰长晚上好吧？所以，爱酱您真的看评论区吗？,2021-06-09 20:32:35
220275709,石阶月色凉如水丶,359,5,给爷整笑了，这自选扩充，请问这两天是周年庆还是春节啊,2021-06-09 19:27:21
92668110,LuvAyanami,464,5,"“反节奏”“反魔怔”“维护社区氛围”的这种优良风气一定要坚持下去！[给心心]
玩家诉求？水军带节奏罢了[吃瓜]
一定都是友商和tx在搞鬼！[傲娇]",2021-06-09 19:09:56
19165587,大皮Prototype,477,6,[大笑]米桑绝对不可能打出炎律牌，因为它甚至都记不住姬子的生日,2021-06-09 19:03:46
75833196,h配度j,564,6,你游“优化”到新版本开服第一天就连开五个池子的样子真高傲[高兴],2021-06-09 21:10:53
3927307,_OM_,433,6,"许多舰长反应水晶获取太容易，为了保障氪金玩家的福利。
我们将会在下个版本拉长双倍战线时间，同时将深渊福利砍到之前的一半，所有玩家将会得到的水晶收益将会减半。
非常抱歉，我们将会随后发放共计30水晶[鼓掌]",2021-06-09 17:26:06
192178465,KallenOtto,245,5,"快删卡莲
卡莲卡斯兰娜，三套装甲，三件付费服装，一件换色服装，没有免费获取的服装，强度？我不说，所有除了卡莲厨的都在嘲讽卡莲的强度，大家都明白
三套装甲，与卡莲人设最接近的是今样，来源是虚拟的卡莲幻想游戏，第六夜想曲樱色轮回番外篇，原罪猎人，架空复制人。你塑造角色有一手的
生日，没有，活动，没有，提到她，玩家的想法是“绿帽子”，捆绑八重樱，八重樱多少资源？她有多少？
主线剧情，与我一人带了一点，关于她在牢里和奥托的对话，然后呢？没了。奥托为了复活卡莲而寻找律者，一路走来和卡莲有关的剧情没几个。神州折剑录，她出镜了，太好了，死了的。出圣痕，技能“睡莲”，我心痛，真的，她一直睡了五百多年了
以卡莲为原型的复制人A310，出圣痕卡莲颂歌，我看个MMD都有人说“怎么穿德丽莎的衣服啊”。唉
A310的服装有两套都是卡莲的。唉
你要搞百合，你要搞青梅竹马。卡莲写死了，你不准备复活，八重樱死了，你能想方设法给她资源出装甲出服装
她的人气越来越低了，我建议删除这个角色以及所有相关的东西，就当奥托是疯子，因为没有人会记起了，所谓的“最强女武神”。快删，我看着恶心",2021-06-10 00:53:15
