Uid,Uname,Like,Level,Content,Time
106347443,逸弦乐,2345,5,评分4.4联动评分5.4合起来刚好9.8[热词系列_知识增加],2021-05-20 20:23:41
43862609,回首の那刻,4645,5,"你菲谢尔几命了？
         🤝

       SSS了
      🤚  🤚

     🚿🧼🤲",2021-05-20 20:52:56
454039391,云殇yo,7457,4,"低情商：拉原神下水
高情商：刻师傅出传说任务啦[OK]",2021-05-20 20:18:53
112427696,劈上天,4234,5,"崩坏的IP已经烂了，现在拉自己唯一能撑场面的IP来救火
救的活吗，别赔了夫人又折兵
还有，我是3年都没见过这么不搭的德莉莎的皮肤，就硬套皮是吧",2021-05-20 20:35:32
29547120,切尔茜棒棒糖,5511,6,我崩坏3死了你原神还想活着？------崩坏3ch,2021-05-20 20:19:23
99231967,吾好梦中鬼畜灬,5866,4,"很喜欢一个只存在16s的热评:
miHoYo仅花了三个月时间追上了鹅厂猪场十几年的名声[呲牙][呲牙]",2021-05-20 20:38:39
451975866,鱼心不尘,1554,3,"我昨儿还和我哥们吹比，说崩三现在流水这么低，怕不是要和原神联动一波，从原神哪里拉点人过来冲业绩。
我兄弟还想了想，说，一般公司应该干不出来这么没脸没皮的事儿。
笑死，他根本不理解米哈游[呲牙]",2021-05-20 21:09:32
343801241,----珖珥----,818,5,"菲谢尔和刻晴都没觉得怎么样，看到可丽皮肤[辣眼睛]
艹神是被崩坏感染了吗[热词系列_知识增加]",2021-05-20 20:29:53
277743889,KKAOD,614,5,躺着赚钱不够，我还要躺着赚两份钱，太牛了mhy。你要是原神世界观完善了，再过度到崩3，只要合理我觉得都可以。现在原神才展开，怎么原神的人物就到崩3里了？世界观人设都出大问题，我直说了，这一次你不但救不了崩3，还会影响原神。我作为原神和崩3都玩的人，只觉得恶心，想不到新的有趣的活动，就整这些烂活，连创新都不需要了，太能省钱了。mhy，珍惜原神吧，如果我还有一丝喜欢，那就是原神的背景和剧本，上限真的很高。如果最后你们把原神用来恰烂钱，那赶紧爬，我就算魔怔也要把你骂到死。,2021-05-20 21:08:37
352197778,31513581135_bili,1416,5,《联动，然后成为女武神》,2021-05-20 21:35:33
8155311,pizima,2336,6,"我不懂你们为什么要喷。
米哈游这波目的不是很明确？
彻底放弃崩坏3老玩家，而原神圈外人多，拉原神玩家入坑，能拉多少拉多少。
我不是魔怔人，我也不想说太多。
我在崩坏3里投入的一切都因为米哈游的骚操作变成单纯的痛苦。
当然你们可以相信我不聪明，我被带了节奏。
但我想说原神老玩家的明天就是崩坏3的今天。
你们大可继续相信tx水军的说法。
或来看看我的崩三85级号和原神56级号。",2021-05-20 21:04:08
376705861,然然你带我走吧,551,5,"刻晴出传说任务了
真的吗？在哪里
在崩三里面",2021-05-20 20:22:44
22070152,浓缩芒果,2886,5,大伟哥，我不知道你能不能看到这条评论。算是我作为喜欢米忽悠作品最后一点希望吧，说一点掏心窝子的话:崩三联动原神，谁也拦不住了；原神就别搞联动了。游戏出圈是好事，但是我们希望米哈游不要忘了当初的初衷！当初喊出的那句话:技术宅拯救世界！人都会犯错，犯了错就应该站出来承认并道歉，而不是躲在后面一句话也不说，兔女郎事件发生经过应该跟大家讲明原由，而不是草草了了的道个歉就过去了，我不知道是不是曾经EVA事件导致的，毁了你喜爱的角色，但我不希望各位去祸害自家孩子。虽然国内现状就像一棵大树芯烂了，但总比国外那些枯枝败叶要好，至少这个大树她还会结果。最后我也不想骂人，希望原神越来越好，虽然路途艰险，但也要加油。毕竟国内现状就这样了，一点点磨损了我最后的心吧。,2021-05-20 20:27:18
